Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,Year,Month,YearMonth,Day,Weekday
2018-08-27 10:52:30,Cash,Food,Biscuits,Khari Packet,45.0,Expense,Inr,2018,August,2018-08,27,Monday
2018-08-27 10:52:09,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,27,Monday
2018-08-26 21:04:46,Saving Bank Account 1,Interest,Nan,Interest Paid,30.0,Income,Inr,2018,August,2018-08,26,Sunday
2018-08-25 21:04:46,Cash,Apparel,Laundry,13 Clothes Ironing,91.0,Expense,Inr,2018,August,2018-08,25,Saturday
2018-08-24 22:13:43,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,Inr,2018,August,2018-08,24,Friday
2018-08-24 22:12:17,Saving Bank Account 1,Other,Nan,From Family,1000.0,Income,Inr,2018,August,2018-08,24,Friday
2018-08-24 20:20:37,Cash,Food,Rajgira Ladu,Nan,20.0,Expense,Inr,2018,August,2018-08,24,Friday
2018-08-24 20:17:09,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,24,Friday
2018-08-24 13:34:14,Cash,Festivals,Navratri,Ganpati+ Navratri Vargani,1000.0,Expense,Inr,2018,August,2018-08,24,Friday
2018-08-23 21:29:52,Credit Card,Transportation,Train,2 Place 2 To Place 3 : Sevagram Express 3Ac,1305.4,Expense,Inr,2018,August,2018-08,23,Thursday
2018-08-23 21:29:12,Credit Card,Transportation,Train,2 Place 3 To Place 2 : Amritsar Express 3Ac,1205.4,Expense,Inr,2018,August,2018-08,23,Thursday
2018-08-23 19:55:33,Saving Bank Account 1,Food,Lunch,Catering Service,60.0,Expense,Inr,2018,August,2018-08,23,Thursday
2018-08-22 22:31:36,Cash,Food,Milk,Half Lit  Milk,37.0,Expense,Inr,2018,August,2018-08,22,Wednesday
2018-08-21 16:15:46,Cash,Food,Tea,Cutting Chai,12.0,Expense,Inr,2018,August,2018-08,21,Tuesday
2018-08-21 16:15:20,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,21,Tuesday
2018-08-17 20:06:32,Saving Bank Account 1,Food,Curd,Dahi 2 Packets,20.0,Expense,Inr,2018,August,2018-08,17,Friday
2018-08-17 19:21:17,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,17,Friday
2018-08-17 12:40:28,Saving Bank Account 1,Dividend Earned On Shares,Nan,Pidilite Stocks,22.0,Income,Inr,2018,August,2018-08,17,Friday
2018-08-16 19:08:01,Credit Card,Subscription,Tata Sky,Permanent Residence - Tata Play Recharge,157.0,Expense,Inr,2018,August,2018-08,16,Thursday
2018-08-15 09:44:05,Cash,Food,Sweets,Warna Srikhand Half Kg,290.0,Expense,Inr,2018,August,2018-08,15,Wednesday
2018-08-15 09:11:44,Cash,Food,Flour Mill,M D Sure 4Kg Atta,216.0,Expense,Inr,2018,August,2018-08,15,Wednesday
2018-08-14 10:59:46,Saving Bank Account 1,Dividend Earned On Shares,Nan,Itc Stocks,124.0,Income,Inr,2018,August,2018-08,14,Tuesday
2018-08-14 10:04:52,Cash,Family,Pocket Money,Nan,30.0,Expense,Inr,2018,August,2018-08,14,Tuesday
2018-08-14 09:51:30,Cash,Food,Snacks,Dahi,32.0,Expense,Inr,2018,August,2018-08,14,Tuesday
2018-08-14 09:50:12,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,Inr,2018,August,2018-08,14,Tuesday
2018-08-14 09:48:42,Cash,Apparel,Laundry,8 Clothes Ironing,56.0,Expense,Inr,2018,August,2018-08,14,Tuesday
2018-08-14 09:46:54,Cash,Food,Ice Cream,Vanila Family Pack,115.0,Expense,Inr,2018,August,2018-08,14,Tuesday
2018-08-13 18:37:27,Cash,Household,Appliances,5 Litres Can Distilled Water,100.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-08-13 18:36:01,Cash,Household,Home Decor,Brass Puja Plate And Diva,220.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-08-13 18:35:18,Cash,Food,Grocery,Half Kg Lahsoon,45.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-08-13 18:33:36,Cash,Household,Kirana,Supermart,594.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-08-13 10:04:36,Cash,Food,Ice Cream,Vanila Cup,10.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-08-13 10:04:23,Cash,Food,Ice Cream,Chocobar,20.0,Expense,Inr,2018,August,2018-08,13,Monday
2018-07-31 21:52:08,Cash,Apparel,Laundry,13 Clothes Ironing,91.0,Expense,Inr,2018,July,2018-07,31,Tuesday
2018-07-31 18:01:20,Saving Bank Account 1,Money Transfer,Home,Nan,30000.0,Expense,Inr,2018,July,2018-07,31,Tuesday
2018-07-31 13:45:08,Cash,Maid,Nan,July Salary,2000.0,Expense,Inr,2018,July,2018-07,31,Tuesday
2018-07-31 13:44:15,Cash,Food,Chocolate,10 Melody,10.0,Expense,Inr,2018,July,2018-07,31,Tuesday
2018-07-31 09:05:17,Saving Bank Account 1,Salary,Nan,From Workplace,70255.0,Income,Inr,2018,July,2018-07,31,Tuesday
2018-07-30 18:44:23,Cash,Health,Medicine,Glucose D(50) + Flora Bc (40)+Cyra 20(10),100.0,Expense,Inr,2018,July,2018-07,30,Monday
2018-07-30 13:19:56,Cash,Health,Medicine,Nan,132.0,Expense,Inr,2018,July,2018-07,30,Monday
2018-07-30 13:19:36,Saving Bank Account 1,Food,Lunch,Catering Service,212.0,Expense,Inr,2018,July,2018-07,30,Monday
2018-07-30 11:49:11,Cash,Food,Breakfast,1 Plates Poha,25.0,Expense,Inr,2018,July,2018-07,30,Monday
2018-07-29 19:29:54,Saving Bank Account 1,Food,Eating Out,Paneer Pizza,260.0,Expense,Inr,2018,July,2018-07,29,Sunday
2018-07-29 15:52:47,Cash,Transportation,Auto,Decathlon Place A To Place A Station,50.0,Expense,Inr,2018,July,2018-07,29,Sunday
2018-07-29 11:39:53,Cash,Transportation,Auto,Current Residence To Place 0,15.0,Expense,Inr,2018,July,2018-07,29,Sunday
2018-07-29 11:38:08,Saving Bank Account 1,Transportation,Train,2 Place 0 To Place A Returns,40.0,Expense,Inr,2018,July,2018-07,29,Sunday
2018-07-29 10:12:59,Cash,Food,Breakfast,Medu Vada 3 Plate,105.0,Expense,Inr,2018,July,2018-07,29,Sunday
2018-07-28 23:42:57,Cash,Family,Pocket Money,Nan,200.0,Expense,Inr,2018,July,2018-07,28,Saturday
2018-07-28 23:42:57,Debit Card,Culture,Movie,2 Inox,481.36,Expense,Inr,2018,July,2018-07,28,Saturday
2018-07-28 21:30:49,Cash,Food,Vegetables,Nan,195.0,Expense,Inr,2018,July,2018-07,28,Saturday
2018-07-28 20:45:00,Credit Card,Household,Kirana,Supermart,3750.0,Expense,Inr,2018,July,2018-07,28,Saturday
2018-07-27 18:39:39,Saving Bank Account 1,Other,Nan,Demat Account Charges,826.0,Expense,Inr,2018,July,2018-07,27,Friday
2018-07-26 23:06:09,Cash,Food,Biscuits,Toast Packet,40.0,Expense,Inr,2018,July,2018-07,26,Thursday
2018-07-26 13:44:31,Saving Bank Account 1,Tax Refund,Nan,Nan,6780.0,Income,Inr,2018,July,2018-07,26,Thursday
2018-07-23 12:49:29,Credit Card,Subscription,Tata Sky,Current Residence - Tata Play Recharge,154.0,Expense,Inr,2018,July,2018-07,23,Monday
2018-07-23 12:33:32,Cash,Food,Breakfast,4 Plates Poha,100.0,Expense,Inr,2018,July,2018-07,23,Monday
2018-07-21 19:02:36,Cash,Household,Kirana,Supermart,368.0,Expense,Inr,2018,July,2018-07,21,Saturday
2018-07-21 19:02:16,Cash,Food,Fruits,Khajur Pav Kg,30.0,Expense,Inr,2018,July,2018-07,21,Saturday
2018-07-21 18:37:38,Saving Bank Account 1,Food,Snacks,2 Bhajipav + 2 Vadapav,60.0,Expense,Inr,2018,July,2018-07,21,Saturday
2018-07-21 08:42:11,Cash,Food,Biscuits,Toast Packet,45.0,Expense,Inr,2018,July,2018-07,21,Saturday
2018-07-20 19:59:46,Cash,Food,Ice Cream,Chocobar,20.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-20 19:59:08,Cash,Food,Potato,Potato 1Kg,25.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-20 19:58:46,Cash,Food,Onions,Onion 1 Kg,25.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-20 13:06:14,Saving Bank Account 1,Transportation,Taxi,Ola Cab - Eye Institute To Current Residence Chs,155.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-20 12:29:28,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-20 09:11:48,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,Inr,2018,July,2018-07,20,Friday
2018-07-19 20:25:13,Cash,Food,Curd,Dahi 4 Packets,40.0,Expense,Inr,2018,July,2018-07,19,Thursday
2018-07-18 20:26:03,Cash,Food,Flour Mill,M D Sure 4Kg Atta,216.0,Expense,Inr,2018,July,2018-07,18,Wednesday
2018-07-16 17:51:56,Cash,Apparel,Laundry,12 Clothes Ironing,84.0,Expense,Inr,2018,July,2018-07,16,Monday
2018-07-16 10:43:53,Credit Card,Household,Hardware,Sony Wi-C100 Earphones Wireless,1190.0,Expense,Inr,2018,July,2018-07,16,Monday
2018-07-16 10:41:01,Cash,Food,Snacks,7 Kachori,84.0,Expense,Inr,2018,July,2018-07,16,Monday
2018-07-15 19:12:57,Cash,Food,Fruits,Nan,30.0,Expense,Inr,2018,July,2018-07,15,Sunday
2018-07-15 18:01:59,Cash,Food,Vegetables,Nan,500.0,Expense,Inr,2018,July,2018-07,15,Sunday
2018-07-15 09:41:01,Cash,Food,Snacks,4 Kachori,48.0,Expense,Inr,2018,July,2018-07,15,Sunday
2018-07-14 18:10:13,Saving Bank Account 1,Other,Nan,Ca  - Income Tax Filing,2000.0,Expense,Inr,2018,July,2018-07,14,Saturday
2018-07-13 14:02:44,Saving Bank Account 1,Transportation,Taxi,Ola Cab - Eye Institute To Current Residence Chs,188.0,Expense,Inr,2018,July,2018-07,13,Friday
2018-07-13 09:36:19,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,Inr,2018,July,2018-07,13,Friday
2018-06-30 18:47:45,Saving Bank Account 1,Household,Appliances,Aqugurad Prv,1200.0,Expense,Inr,2018,June,2018-06,30,Saturday
2018-06-30 08:45:37,Saving Bank Account 1,Dividend Earned On Shares,Nan,Asian Paints Stocks,43.0,Income,Inr,2018,June,2018-06,30,Saturday
2018-06-30 08:45:18,Saving Bank Account 1,Interest,Nan,Interest Paid,342.0,Income,Inr,2018,June,2018-06,30,Saturday
2018-06-30 08:44:48,Saving Bank Account 1,Salary,Nan,From Workplace,65122.0,Income,Inr,2018,June,2018-06,30,Saturday
2018-06-29 17:01:00,Saving Bank Account 1,Dividend Earned On Shares,Nan,Hul Stocks,44.0,Income,Inr,2018,June,2018-06,29,Friday
2018-06-29 16:13:02,Cash,Household,Hardware,Tulsi Plant+ Pot,70.0,Expense,Inr,2018,June,2018-06,29,Friday
2018-06-29 16:10:41,Cash,Household,Kitchen,Math Tap Repair,50.0,Expense,Inr,2018,June,2018-06,29,Friday
2018-06-29 15:28:46,Cash,Household,Appliances,3 Bulbs 3 Pencil Cells,270.0,Expense,Inr,2018,June,2018-06,29,Friday
2018-06-28 20:44:36,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,Inr,2018,June,2018-06,28,Thursday
2018-06-28 18:35:52,Cash,Food,Snacks,Bhaji + Vadapav + Kachori+ Tea,70.0,Expense,Inr,2018,June,2018-06,28,Thursday
2018-06-28 15:06:59,Cash,Transportation,Taxi,Vadala Road To Nehru Planetarium,228.0,Expense,Inr,2018,June,2018-06,28,Thursday
2018-06-28 10:08:21,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,Inr,2018,June,2018-06,28,Thursday
2018-06-27 21:32:27,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 19:11:09,Saving Bank Account 1,Other,Nan,From Family,3000.0,Income,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:53:54,Cash,Food,Tea,2 Cups,14.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:48:45,Cash,Household,Gadgets,Mobile Cover Real Mi Note Pro,100.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:46:33,Credit Card,Other,Nan,Shopping At Alfa,4720.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:46:48,Cash,Household,Gadgets,Mouse Pad,100.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:43:23,Credit Card,Apparel,Accessories,Purse,450.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:19:27,Credit Card,Apparel,Footwear,Rainy Season Chappal,550.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 18:18:28,Cash,Transportation,Auto,Place P Station To Alfa Market,25.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 14:00:32,Cash,Transportation,Train,2 Place 0 To Place P Return,80.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 13:59:52,Cash,Transportation,Auto,2 Current Residence To Place 0,30.0,Expense,Inr,2018,June,2018-06,27,Wednesday
2018-06-27 06:30:08,Share Market Trading,Saving Bank Account 1,Nan,Refund,2549.59,Transfer-Out,Inr,2018,June,2018-06,27,Wednesday
2018-06-26 19:47:42,Cash,Transportation,Auto,2 Place 0 To Current Residence,30.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 19:47:42,Credit Card,Household,Kirana,Supermart,1990.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 17:25:23,Saving Bank Account 1,Household,Appliances,Aqugurad Water Purifier,13050.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 12:49:54,Saving Bank Account 1,Household,Hardware,Umbrella Handle Repair,70.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 11:47:08,Cash,Transportation,Train,Place 0 To Place 4 Return,20.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 11:45:49,Cash,Food,Tea,2 Cutting Chai,20.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-26 11:44:48,Cash,Food,Snacks,Bhaji + Vadapav,30.0,Expense,Inr,2018,June,2018-06,26,Tuesday
2018-06-25 15:09:49,Saving Bank Account 1,Food,Lunch,Home Food Delivery,320.0,Expense,Inr,2018,June,2018-06,25,Monday
2018-06-25 14:23:22,Credit Card,Household,Kirana,Smart Point,2074.0,Expense,Inr,2018,June,2018-06,25,Monday
2018-06-24 16:11:39,Cash,Transportation,Auto,2 Place 0 To Current Residence,40.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 16:11:17,Saving Bank Account 1,Food,Breakfast,Bread,18.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 16:11:07,Saving Bank Account 1,Food,Milk,Milk 1Lit,72.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 14:37:00,Credit Card,Health,Health,Suppliemnts,211.75,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 13:31:06,Cash,Transportation,Train,2 Place 5 To Place 0,30.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 11:29:20,Credit Card,Subscription,Tata Sky,Permanent Residence - Tata Play Recharge,157.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-24 11:00:13,Cash,Food,Snacks,2 Vadapav 2 Samosa Pav,60.0,Expense,Inr,2018,June,2018-06,24,Sunday
2018-06-23 19:25:22,Credit Card,Subscription,Mobile Service Provider,Annual Recharge,2545.0,Expense,Inr,2018,June,2018-06,23,Saturday
2018-06-23 10:15:35,Cash,Transportation,Auto,Nan,30.0,Expense,Inr,2018,June,2018-06,23,Saturday
2018-06-22 15:32:22,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,181.0,Expense,Inr,2018,June,2018-06,22,Friday
2018-06-19 13:24:01,Saving Bank Account 1,Family,Pocket Money,Nan,2000.0,Expense,Inr,2018,June,2018-06,19,Tuesday
2018-06-19 10:25:47,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,25.0,Expense,Inr,2018,June,2018-06,19,Tuesday
2018-06-18 22:18:59,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,15.0,Expense,Inr,2018,June,2018-06,18,Monday
2018-06-16 09:01:39,Saving Bank Account 1,Share Market,Nan,Nan,8500.0,Transfer-Out,Inr,2018,June,2018-06,16,Saturday
2018-06-15 21:19:39,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,15.0,Expense,Inr,2018,June,2018-06,15,Friday
2018-06-15 09:24:33,Saving Bank Account 1,Transportation,Train,2Cc Place 2 To Ddr Spl Train,1213.6,Expense,Inr,2018,June,2018-06,15,Friday
2018-05-31 08:47:33,Saving Bank Account 1,Salary,Nan,From Workplace,65134.0,Income,Inr,2018,May,2018-05,31,Thursday
2018-05-30 07:42:56,Saving Bank Account 1,Dividend Earned On Shares,Nan,Hdfc Stocks,88.0,Income,Inr,2018,May,2018-05,30,Wednesday
2018-05-28 14:11:17,Credit Card,Subscription,Mobile Service Provider,Data Booster Pack,25.0,Expense,Inr,2018,May,2018-05,28,Monday
2018-05-28 10:41:59,Cash,Beauty,Grooming,Hair Cut,100.0,Expense,Inr,2018,May,2018-05,28,Monday
2018-05-27 10:50:10,Saving Bank Account 2,Interest,Nan,Interest Paid,28.0,Income,Inr,2018,May,2018-05,27,Sunday
2018-05-27 10:50:10,Cash,Household,Kirana,Soap + Dahya Pav Kg,75.0,Expense,Inr,2018,May,2018-05,27,Sunday
2018-05-26 07:55:09,Cash,Transportation,Auto,Permanent Residence To Motor Driving School,50.0,Expense,Inr,2018,May,2018-05,26,Saturday
2018-05-24 09:04:01,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,667.0,Expense,Inr,2018,May,2018-05,24,Thursday
2018-05-23 21:20:18,Credit Card,Subscription,Tata Sky,Permanent Residence - Tata Play Recharge,166.0,Expense,Inr,2018,May,2018-05,23,Wednesday
2018-05-22 20:47:36,Cash,Health,Health,2 All Out Refill,154.0,Expense,Inr,2018,May,2018-05,22,Tuesday
2018-05-21 14:06:05,Cash,Family,Pocket Money,Nan,140.0,Expense,Inr,2018,May,2018-05,21,Monday
2018-05-20 14:06:20,Saving Bank Account 1,Family,Misc,"Soap, Shampoo, Razor",122.0,Expense,Inr,2018,May,2018-05,20,Sunday
2018-05-19 19:26:19,Cash,Household,Kitchen,Flour Mill,25.0,Expense,Inr,2018,May,2018-05,19,Saturday
2018-05-19 15:17:18,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,15.0,Expense,Inr,2018,May,2018-05,19,Saturday
2018-05-18 15:35:49,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,301.0,Expense,Inr,2018,May,2018-05,18,Friday
2018-05-15 20:11:58,Saving Bank Account 1,Food,Ice Cream,Cookies & Cream Family Pack,135.0,Expense,Inr,2018,May,2018-05,15,Tuesday
2018-05-15 20:11:12,Cash,Transportation,Auto,Within City,30.0,Expense,Inr,2018,May,2018-05,15,Tuesday
2018-05-15 20:10:10,Saving Bank Account 1,Household,Appliances,Lg Washing Machine,21500.0,Expense,Inr,2018,May,2018-05,15,Tuesday
2018-05-15 18:43:55,Cash,Transportation,Auto,Permanent Residence To Gh Road,50.0,Expense,Inr,2018,May,2018-05,15,Tuesday
2018-05-14 23:09:55,Saving Bank Account 1,Amazon Pay Cashback,Nan,Nan,21.0,Income,Inr,2018,May,2018-05,14,Monday
2018-05-14 23:08:45,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,301.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 22:49:32,Cash,Other,Nan,Digilock Room Charges,40.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 22:49:07,Cash,Transportation,Auto,Place 2 Station To Permanent Residence,50.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 18:01:15,Cash,Food,Snacks,Potato Chips,15.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 12:55:41,Saving Bank Account 1,Food,Fruits,2 Dozens Mango + 1Kg Litchi,1250.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 09:47:57,Cash,Transportation,Train,2 Place 0 To Place 3,40.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-14 09:47:13,Cash,Transportation,Auto,2 Current Residence To Place 0,40.0,Expense,Inr,2018,May,2018-05,14,Monday
2018-05-13 20:18:01,Cash,Apparel,Laundry,Clothes Ironing,77.0,Expense,Inr,2018,May,2018-05,13,Sunday
2018-05-13 20:16:54,Cash,Education,Stationary,Gel Pen Refills,12.0,Expense,Inr,2018,May,2018-05,13,Sunday
2018-05-13 00:06:05,Cash,Scrap,Nan,Nan,20.0,Income,Inr,2018,May,2018-05,13,Sunday
2018-04-30 18:25:28,Cash,Food,Snacks,6 Kachori,72.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-30 18:25:08,Cash,Household,Kirana,Supermart,165.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-30 09:56:14,Credit Card,Subscription,Tata Sky,Current Residence - Tata Play Recharge,176.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-30 09:48:34,Cash,Food,Biscuits,Toast Packet,45.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-30 09:48:07,Cash,Food,Milk,Milk 1Lit,72.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-30 06:32:57,Cash,Gift,Nan,To Family,500.0,Expense,Inr,2018,April,2018-04,30,Monday
2018-04-29 18:28:10,Saving Bank Account 1,Food,Beverage,2 Sugarcane Juice,40.0,Expense,Inr,2018,April,2018-04,29,Sunday
2018-04-29 09:36:56,Saving Bank Account 1,Salary,Nan,From Workplace,65134.0,Income,Inr,2018,April,2018-04,29,Sunday
2018-04-28 21:03:59,Credit Card,Food,Dinner,Home Food Delivery,413.0,Expense,Inr,2018,April,2018-04,28,Saturday
2018-04-28 10:04:35,Cash,Family,Pocket Money,Nan,500.0,Expense,Inr,2018,April,2018-04,28,Saturday
2018-04-27 18:30:51,Cash,Household,Kirana,Supermart,295.0,Expense,Inr,2018,April,2018-04,27,Friday
2018-04-26 20:44:20,Cash,Food,Snacks,Noodles Packet,30.0,Expense,Inr,2018,April,2018-04,26,Thursday
2018-04-26 20:44:50,Saving Bank Account 1,Food,Milk,Milk 1Lit,72.0,Expense,Inr,2018,April,2018-04,26,Thursday
2018-04-26 11:30:19,Cash,Family,Pocket Money,Nan,1000.0,Expense,Inr,2018,April,2018-04,26,Thursday
2018-04-25 18:28:39,Cash,Food,Lunch,Catering Service,70.0,Expense,Inr,2018,April,2018-04,25,Wednesday
2018-04-24 22:24:28,Credit Card,Subscription,Tata Sky,Permanent Residence - Tata Play Recharge,157.0,Expense,Inr,2018,April,2018-04,24,Tuesday
2018-04-23 18:21:36,Saving Bank Account 1,Household,Kirana,Idli Pith 1Kg,38.0,Expense,Inr,2018,April,2018-04,23,Monday
2018-04-23 15:22:30,Cash,Maid,Nan,Nan,500.0,Expense,Inr,2018,April,2018-04,23,Monday
2018-04-22 21:03:30,Cash,Food,Vegetables,Nan,10.0,Expense,Inr,2018,April,2018-04,22,Sunday
2018-04-22 12:35:39,Cash,Household,Kirana,Supermart,190.0,Expense,Inr,2018,April,2018-04,22,Sunday
2018-04-22 12:35:28,Saving Bank Account 1,Food,Milk,Milk 1Lit,72.0,Expense,Inr,2018,April,2018-04,22,Sunday
2018-04-21 23:15:33,Cash,Food,Ice Cream,Naturals,160.0,Expense,Inr,2018,April,2018-04,21,Saturday
2018-04-21 21:15:07,Cash,Food,Curd,Dahi 2 Packets,20.0,Expense,Inr,2018,April,2018-04,21,Saturday
2018-04-20 20:39:57,Saving Bank Account 1,Food,Dinner,Sugaran Kitchen,70.0,Expense,Inr,2018,April,2018-04,20,Friday
2018-04-19 20:13:20,Cash,Household,Kitchen,Flour Mill,14.0,Expense,Inr,2018,April,2018-04,19,Thursday
2018-04-19 09:55:08,Saving Bank Account 1,Food,Eggs,6 Eggs,36.0,Expense,Inr,2018,April,2018-04,19,Thursday
